Bottling,Bottle,Head_Formation,Percent_Adhesion,Percent_Collapse
1,1,166,74,87
1,2,180,78,81
1,3,164,67,85
1,4,180,71,82
1,5,173,65,82
1,6,169,66,81
1,7,131,53,95
1,8,160,53,89
1,9,183,74,78
1,10,181,71,74
1,11,169,70,73
1,12,182,75,73
1,13,165,61,85
1,14,166,61,77
1,15,169,63,75
1,16,172,63,73
1,17,164,62,78
1,18,167,61,80
1,19,170,58,81
1,20,161,61,76
2,1,163,67,82
2,2,165,70,83
2,3,162,69,79
2,4,157,74,80
2,5,166,68,81
2,6,100,76,78
2,7,159,73,79
2,8,168,71,82
2,9,101,72,82
2,10,104,75,83
2,11,105,70,79
2,12,100,67,80
2,13,157,73,77
2,14,101,76,76
2,15,103,71,81
2,16,102,72,81
2,17,164,68,80
2,18,158,74,82
2,19,150,69,79
2,20,159,75,77
3,1,140,73,69
3,2,155,74,69
3,3,154,68,73
3,4,154,71,72
3,5,156,69,73
3,6,168,73,73
3,7,162,65,73
3,8,166,67,70
3,9,156,69,71
3,10,160,69,71
3,11,160,67,73
3,12,154,71,71
3,13,156,67,71
3,14,156,69,73
3,15,155,73,69
3,16,164,70,71
3,17,152,66,72
3,18,156,70,72
3,19,167,69,72
